,mass A,,
t,x,y,
0.000,-5.117E-3,-7.756E-2
0.049,-4.646E-3,-8.180E-2
0.099,-4.421E-3,-8.966E-2
0.148,-4.318E-3,-0.105
0.198,-1.261E-3,-0.106
0.247,-5.912E-3,-0.108
0.297,-9.557E-3,-0.101
0.346,-7.096E-3,-8.750E-2
0.395,-6.476E-3,-8.136E-2
0.445,-5.308E-3,-9.284E-2
0.494,-8.655E-3,-9.842E-2
0.544,-9.461E-3,-0.105
0.593,-1.124E-2,-0.110
0.642,-1.361E-2,-9.833E-2
0.692,-1.093E-2,-9.154E-2
0.741,-9.747E-3,-9.242E-2
0.791,-9.602E-3,-0.104
0.840,-1.401E-2,-0.111
0.890,-1.450E-2,-0.110
0.939,-1.670E-2,-9.879E-2
0.988,-1.638E-2,-9.025E-2
1.038,-2.420E-2,-8.772E-2
1.087,-2.193E-2,-0.105
1.137,-2.414E-2,-0.114
1.186,-2.848E-2,-0.117
1.235,-3.611E-2,-0.114
1.285,-3.331E-2,-0.100
1.334,-3.113E-2,-9.307E-2
1.384,-2.746E-2,-6.885E-2
1.433,-3.521E-2,-6.222E-2
1.483,-3.306E-2,-7.628E-2
1.532,-3.098E-2,-9.376E-2
1.581,-2.933E-2,-0.107
1.631,-3.123E-2,-0.118
1.680,-3.134E-2,-0.115
1.730,-3.239E-2,-0.106
1.779,-3.199E-2,-9.288E-2
1.828,-2.194E-2,-7.562E-2
1.878,-2.707E-2,-8.527E-2
1.927,-2.628E-2,-9.914E-2
1.977,-2.854E-2,-0.111
2.026,-2.035E-2,-0.112
2.076,-2.355E-2,-9.970E-2
2.125,-2.739E-2,-9.416E-2
2.174,-1.171E-2,-7.750E-2
2.224,-1.156E-2,-7.870E-2
2.273,-7.041E-3,-9.417E-2
2.323,-6.525E-3,-0.104
2.372,-6.791E-3,-0.109
2.421,-1.217E-2,-0.114
2.471,-1.216E-2,-0.103
2.520,-1.371E-2,-9.389E-2
2.570,-1.756E-3,-6.571E-2
2.619,2.859E-3,-5.604E-2
2.669,1.078E-3,-6.011E-2
2.718,7.665E-4,-6.815E-2
2.767,-5.564E-3,-7.812E-2
2.817,4.586E-3,-8.446E-2
2.866,3.639E-3,-8.974E-2
2.916,1.584E-3,-8.988E-2
2.965,1.296E-3,-8.680E-2
3.014,2.673E-4,-8.695E-2
3.064,1.578E-3,-9.022E-2
3.113,-1.868E-3,-9.170E-2
3.163,-5.521E-3,-9.523E-2
